COD IBGE;UF;Município;Populaçao;RENDA1;RENDA2;EDUC1;EDUC2;IEOC;ENDcont1;ENDcont2;IGD;IGDu;IGDe;IGDm;IDI;CP1;CP2;N;NE;CO;S;SE;ESQ;DIR;CENTRO;CPP;CPG;ME;TG;TA;TP;BP
5200050;GO;ABADIA DE GOIÁS;7733;568.21;0.4258;8.2;0.826810454;1.191012065;-0.301478385;0.177776344;0.766267323;0.326724061;0.229343334;0.210199928;0.059855692;0.650914066;2.864624162;0;0;1;0;0;0;0;1;0;1;1;5.5;5.892857143;7.586206897;0
3100104;MG;ABADIA DOS DOURADOS;6992;592.68;0.4738;7.9;0.788831229;1.264842662;0.294344418;0.400582103;1.01748991;0.611514866;0.303618297;0.102356747;0.14995819;0.512756607;2.052362361;0;0;0;0;1;0;0;1;0;0;1;4.4;7.5;0.689655172;0
3100203;MG;ABAETÉ;23494;699.66;0.551;8;0.811620471;1.247242034;0.322105551;0.500020842;0.92450148;0.51201726;0.269228121;0.143256099;0.104991162;0.612748261;2.58229957;0;0;0;0;1;0;1;0;0;0;1;5.9;8.214285714;1.034482759;6.666666667
2900108;BA;ABAÍRA;9243;282.2;0.4742;20.1;0.669497992;1.213774757;0.97511216;1.045261167;0.953409186;0.608217161;0.13780633;0.207385695;0.114273777;0.492933773;1.972128977;0;1;0;0;0;1;0;0;0;0;1;8.5;8.035714286;8.620689655;10
4100103;PR;ABATIÁ;7852;533.79;0.4424;16.4;0.715345556;1.218686187;0.085391395;0.424517579;0.912646816;0.585009646;0.204884205;0.122752965;0.035283671;0.49983836;1.999353648;0;0;0;1;0;0;1;0;0;0;1;7.1;9.107142857;6.896551724;0
4200051;SC;ABDON BATISTA;2643;479.93;0.4597;10.8;0.804690259;1.340439296;-0.134534882;0.133767063;0.861905272;0.51314066;0.298355049;0.050409563;0.195667831;0;1;0;0;0;1;0;0;0;1;0;0;1;8.9;9.107142857;7.931034483;10
4200101;SC;ABELARDO LUZ;17651;553.36;0.5445;11.4;0.723521691;1.236786309;0.022642952;0.169243338;0.895519624;0.392442316;0.295677159;0.207400148;0.090369912;0.552055727;2.23242055;0;0;0;1;0;1;0;0;1;0;0;7.5;8.571428571;9.310344828;0
3100302;MG;ABRE CAMPO;13711;442.11;0.5225;12;0.813853346;1.064008706;0.539214781;0.65699996;0.874240042;0.599881739;0.178684869;0.095673435;0.160654759;0.493978566;1.976200875;0;0;0;0;1;1;0;0;1;1;1;3.8;2.857142857;7.586206897;0
2600054;PE;ABREU E LIMA;98201;376.6;0.4676;9.9;0.633880093;1.210116315;0.214380228;0.325260589;0.977143254;0.514492138;0.315449337;0.147201779;0.034054247;0.675511534;3.081773639;0;1;0;0;0;1;0;0;1;0;1;1.7;3.035714286;0;0
1700251;TO;ABREULÂNDIA;2523;615.87;0.7146;12.9;0.713289292;1.273307045;-0.090580928;0.221817182;0.968965466;0.713273125;0.12413749;0.13155485;0.027017405;0.646357543;2.82771477;1;0;0;0;0;1;0;0;0;0;1;6.4;6.607142857;5.862068966;6.666666667
